Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Geometry A,Ortiz,11.1,6.3,79.0,79.0,79.0,4.8,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,17:56:08,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Attendance Course,Goyal,30.0,30.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/16/2026 10:15 AM,0:12:00,Active,
"Ibarra, Mateo",mibarra,AZ KL 412009,10,IC 26-27 Biology A,Nguyen,31.6,33.6,60.0,60.0,60.0,-2.0,No,8/26/2026,1/22/2027,8/2/2026 10:15 AM,27:55:35,Archived,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 English 11 A,Ortiz,5.6,9.1,72.0,72.0,72.0,-3.5,No,8/26/2026,1/22/2027,9/7/2026 10:15 AM,17:45:26,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Algebra 2 A,Bastin Hernandez,1.6,7.6,69.4,69.4,69.4,-6.0,No,8/26/2026,1/22/2027,9/7/2026 10:15 AM,22:43:56,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Attendance Course,Goyal,25.0,25.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/21/2026 10:15 AM,0:12:00,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Financial Literacy,two teachers,21.6,10.1,95.0,95.0,95.0,11.5,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,24:14:09,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Physics A,Nguyen,7.6,6.5,77.0,77.0,77.0,1.1,No,8/26/2026,1/22/2027,9/10/2026 10:15 AM,5:11:09,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 English 9 A,Ortiz,26.6,6.4,96.0,96.0,96.0,20.2,No,8/26/2026,1/22/2027,9/11/2026 10:15 AM,14:42:14,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Earth Science A,Nguyen,22.6,6.7,92.0,92.0,92.0,15.9,No,8/26/2026,1/22/2027,9/11/2026 10:15 AM,0:31:53,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Attendance Course,Goyal,50.0,50.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/25/2026 10:15 AM,0:12:00,Active,
