Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Ibarra, Mateo",mibarra,AZ KL 412009,10,IC 26-27 Biology A,Nguyen,40.0,72.0,60.0,60.0,60.0,-32.0,No,8/26/2026,1/22/2027,8/16/2026 10:15 AM,12:51:15,Archived,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 English 11 A,Ortiz,14.0,47.5,72.0,72.0,72.0,-33.5,No,8/26/2026,1/22/2027,9/21/2026 10:15 AM,25:47:51,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Algebra 2 A,Bastin Hernandez,10.0,46.0,69.4,69.4,69.4,-36.0,No,8/26/2026,1/22/2027,9/21/2026 10:15 AM,14:12:33,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Attendance Course,Goyal,25.0,25.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/21/2026 10:15 AM,0:12:00,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Financial Literacy,two teachers,30.0,48.5,95.0,95.0,95.0,-18.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,31:22:46,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Physics A,Nguyen,16.0,44.9,77.0,77.0,77.0,-28.9,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,1:01:50,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 English 9 A,Ortiz,35.0,44.8,96.0,96.0,96.0,-9.8,No,8/26/2026,1/22/2027,9/25/2026 10:15 AM,17:30:16,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Earth Science A,Nguyen,31.0,45.1,92.0,92.0,92.0,-14.1,No,8/26/2026,1/22/2027,9/25/2026 10:15 AM,12:44:38,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Attendance Course,Goyal,50.0,50.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/25/2026 10:15 AM,0:12:00,Active,
