Name,User ID,External ID,Student Grade Level,Course Name,Teacher,Progress,Target Progress,Actual Grade,Overall Grade,Relative Grade,Pacing,Complete,Start Date,Target Date,Last Gradebook Entry,Active Time,Enrollment Status,Assignment Status
"Dawson, Kayla",kdawson,TH STA 412004,12,IC 26-27 Attendance Course,Goyal,35.0,35.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/22/2026 10:15 AM,0:12:00,Active,Pending Grading
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 English 9 A,Ortiz,4.0,32.3,65.0,65.0,65.0,-28.3,No,8/26/2026,1/22/2027,8/28/2026 10:15 AM,30:40:25,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Physical Science A,Nguyen,6.0,32.0,70.0,70.0,70.0,-26.0,No,8/26/2026,1/22/2027,8/28/2026 10:15 AM,3:12:04,Active,
"Espinoza, Luis",lespinoza,JQ STA 412005,10,IC 26-27 Attendance Course,Goyal,10.0,10.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,8/28/2026 10:15 AM,0:12:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Algebra 1 A,Bastin Hernandez,0.0,12.0,0.0,0.0,0.0,-12.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Health,Nguyen,0.0,12.0,0.0,0.0,0.0,-12.0,No,9/21/2026,1/22/2027,,0:00:00,Active,
"Foster, Emma",efoster,JQ STA 412006,9,IC 26-27 Attendance Course,Goyal,0.0,0.0,0.0,0.0,0.0,0.0,No,9/21/2026,6/10/2027,,0:00:00,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Economics,Ortiz,98.5,98.5,93.0,93.0,93.0,0.0,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,13:28:10,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Government,Ortiz,24.0,33.5,90.0,90.0,90.0,-9.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,7:21:38,Active,
"Gutierrez, Sofia",sgutierrez,MG KL 412007,12,IC 26-27 Attendance Course,Goyal,45.0,45.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Spanish 1 A,Nguyen,21.0,32.2,84.0,84.0,84.0,-11.2,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,3:06:00,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Geometry A,Ortiz,19.5,32.7,79.0,79.0,79.0,-13.2,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,36:09:34,Active,
"Hale, Jordan",jhale,AZ KL 412008,11,IC 26-27 Attendance Course,Goyal,30.0,30.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/16/2026 10:15 AM,0:12:00,Active,
"Ibarra, Mateo",mibarra,AZ KL 412009,10,IC 26-27 Biology A,Nguyen,40.0,60.0,60.0,60.0,60.0,-20.0,No,8/26/2026,1/22/2027,8/16/2026 10:15 AM,6:23:39,Archived,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 English 11 A,Ortiz,14.0,35.5,72.0,72.0,72.0,-21.5,No,8/26/2026,1/22/2027,9/21/2026 10:15 AM,1:04:55,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Algebra 2 A,Bastin Hernandez,10.0,34.0,69.4,69.4,69.4,-24.0,No,8/26/2026,1/22/2027,9/21/2026 10:15 AM,13:39:24,Active,
"Johnson, Aaliyah",ajohnson,TH GH 412010,11,IC 26-27 Attendance Course,Goyal,25.0,25.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/21/2026 10:15 AM,0:12:00,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Financial Literacy,two teachers,30.0,36.5,95.0,95.0,95.0,-6.5,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,9:40:16,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Physics A,Nguyen,16.0,32.9,77.0,77.0,77.0,-16.9,No,8/26/2026,1/22/2027,9/24/2026 10:15 AM,22:38:23,Active,
"Kowalski, Ben",bkowalski,JQ STA 412011,12,IC 26-27 Attendance Course,Goyal,100.0,100.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/24/2026 10:15 AM,0:12:00,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 English 9 A,Ortiz,35.0,32.8,96.0,96.0,96.0,2.2,No,8/26/2026,1/22/2027,9/25/2026 10:15 AM,30:07:07,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Earth Science A,Nguyen,31.0,33.1,92.0,92.0,92.0,-2.1,No,8/26/2026,1/22/2027,9/25/2026 10:15 AM,31:29:30,Active,
"Lopez, Isabella",ilopez,MG KL 412012,9,IC 26-27 Attendance Course,Goyal,50.0,50.0,100.0,100.0,100.0,0.0,No,8/26/2026,6/10/2027,9/25/2026 10:15 AM,0:12:00,Active,
